"","NAME_1","NAME_2","precip_annual","temp_annual","elevation","population"
"1","Centre","Blitta",104.752069687045,26.2382141628467,402.160689843964,0.78000725761198
"2","Centre","Mô",105.111728395062,26.7999102171824,289.920838971583,0.162898756781207
"3","Centre","Sotouboua",103.779844753747,26.1530112449737,384.805697393174,0.196894801549598
"4","Centre","Tchamba",96.3647674316364,26.3832058164445,320.577349524815,0.609784603152981
"5","Centre","Tchaudjo",107.324207746479,25.9559741798701,396.772183098592,0.811247664241583
"6","Kara","Assoli",119.404632152589,25.5605207361526,495.374205267938,0.468015150254544
"7","Kara","Bassar",107.686844928613,26.914077331615,275.42750929368,0.306715415944007
"8","Kara","Bimah",102.396945646946,26.7759980799889,392.862329803328,1.1956831441198
"9","Kara","Dankpen",97.5135796221321,27.8038489988565,162.989134125637,0.813511995990204
"10","Kara","Doufelgou",102.291301703163,26.9047080181521,332.058608058608,0.575264875420327
"11","Kara","Kéran",93.6552682791214,27.7617876240702,202.102640545145,0.558346710772154
"12","Kara","Kozah",107.317066873225,26.7994771472804,347.040278853602,1.9621139449925
"13","Maritime","Agoe-Nyive",82.331623931624,27.0746581175389,30.0871794871795,51.8258665994694
"14","Maritime","Avé",88.5971279003962,26.5214983075773,88.4219015280136,0.825778797044212
"15","Maritime","Bas-Mono",86.3121212121211,27.0356061039549,33.5706806282722,2.79794053410182
"16","Maritime","Golfe",81.0405251141552,27.1449771743931,18.472602739726,58.0029654183068
"17","Maritime","Lacs",85.4971264367816,27.174317521953,13.1986899563319,4.96976275039654
"18","Maritime","Lomé",80.0581039755352,27.3905963810212,16.605504587156,72.969761874825
"19","Maritime","Vo",85.8502442690718,26.9288519108846,34.7587373167982,2.51759132498352
"20","Maritime","Yoto",85.0404617798701,26.6228760131617,76.846049966239,1.28265627610794
"21","Maritime","Zio",86.6197160057585,26.4710738018941,77.2728700431881,1.42915910754453
"22","Plateaux","Agou",102.395751889497,25.9708235706859,150.969483568075,0.710847626195951
"23","Plateaux","Akébou",115.143250688705,25.5926997272884,460.314285714286,0.507830262838497
"24","Plateaux","Amou",113.900570401625,25.8535786815166,377.47866854196,0.650778065111944
"25","Plateaux","Anié",91.1812366737741,27.1445735390507,192.962046908316,0.98963176869872
"26","Plateaux","Danyi",136.335678210678,22.9160173128522,728.64113785558,0.844840676080233
"27","Plateaux","Est-Mono",93.4599968061323,26.9955205944265,233.679727979275,0.67488705605316
"28","Plateaux","Haho",95.1928458900935,26.7123621400718,143.455784204672,0.968017504188005
"29","Plateaux","Kloto",119.138472222222,25.1117916682031,365.03367003367,2.88806045423319
"30","Plateaux","Kpélé",117.725941105039,25.8695051638227,297.730418943534,0.864667158719312
"31","Plateaux","Moyen-Mono",86.3721539162113,26.9465846743957,126.519890260631,1.2940251926349
"32","Plateaux","Ogou",94.8890824622533,27.1194032931854,167.160278745645,0.960651010476028
"33","Plateaux","Wawa",130.375058602907,24.2566338502014,584.34604519774,0.752458566314978
"34","Savanes","Cinkassé",78.9990138067061,28.1824458270854,282.149006622517,3.39312647273366
"35","Savanes","Kpendjal",86.296962430056,28.7104465561233,159.544180377818,0.692285935989636
"36","Savanes","Naki-Ouest",86.2571530758226,28.5909424010605,215.689768976898,1.15883768046557
"37","Savanes","Oti",88.4531509121062,28.3613321898457,146.795127353267,0.7394750709077
"38","Savanes","Oti-Sud",90.455802730697,28.2284957602087,149.805378627035,0.536911120659318
"39","Savanes","Tandjouaré",86.5941704035874,27.9312406504279,274.520215633423,1.46958223489672
"40","Savanes","Tône",83.5553245553246,28.2678159205736,270.052410901468,2.9394970575124
