hv001,precip_annual,temp_annual,elevation,population,wealth_score,wealth_index,n_menages
70,88.66666666666667,26.99166663487752,151,0.5845958590507507,-67541.46666666666,2,30
71,93.75,27.466666380564373,153,0.8566058278083801,19012.85714285714,4,28
72,94.91666666666667,27.491666475931805,166,0.8730718493461609,-59115.192307692305,2,26
73,89.58333333333333,27.074999968210857,207,1.2301663160324097,-41368.793103448275,2,29
74,94.75,27.175000031789143,235,0.6387791037559509,-42818.86666666667,2,30
75,89.33333333333333,27.041666666666668,200,1.6135034561157227,-64919.7,2,30
76,98.41666666666667,27.391666412353516,211,1.0542575120925903,-64424.76666666667,2,30
77,123.91666666666667,24.24999984105428,608,7.362396240234375,-4657.466666666666,3,30
78,119.16666666666667,25.24166663487752,489,0.20721645653247833,-80919.23333333334,1,30
79,140.08333333333334,22.53333330154419,847,0.30365559458732605,-74288.5172413793,1,29
80,127.58333333333333,24.875,485,1.9612369537353516,-10413.862068965518,3,29
81,117.58333333333333,26.666666666666668,252,0.39136365056037903,-78432.13333333333,1,30
82,108.58333333333333,26.233333428700764,450,2.158648729324341,-6936.3,3,30
83,105.16666666666667,26.291666825612385,282,0.2345479130744934,-80667.27586206897,1,29
84,109.25,26.56666660308838,197,0.417627215385437,-82414.7,1,30
85,120.25,26.15833346048991,269,0.9565821290016174,-6118.103448275862,3,29
86,115.83333333333333,25.883333206176758,254,13.747034072875977,97122.77777777778,4,27
87,116.41666666666667,26.049999872843426,249,16.116777420043945,57242.53571428572,4,28
88,133.66666666666666,23.05833339691162,729,4.025760173797607,14823.464285714286,3,28
89,112.58333333333333,25.858333428700764,222,1.6447197198867798,-51037.03703703704,2,27
90,110.08333333333333,25.5583332379659,211,7.67825984954834,-1373.7142857142858,3,28
91,110.91666666666667,25.666666825612385,240,4.541310787200928,10205.51724137931,3,29
92,99.25,26.050000190734863,144,0.3420989215373993,-76447.5,1,28
93,97.16666666666667,26.641666571299236,157,3.622081756591797,-86144.20689655172,1,29
94,99.16666666666667,26.758333206176758,173,0.7115018963813782,-35394.10344827586,3,29
95,102.41666666666667,26.97500006357829,159,0.5747254490852356,-14609.033333333333,3,30
96,89.25,26.75,138,2.4775774478912354,-37986.1,3,30
97,87.58333333333333,26.64999993642171,108,0.623991072177887,-74600.62068965517,1,29
98,84.33333333333333,26.75833336512248,136,5.767266273498535,-14989.814814814816,3,27
100,110.25,26.00833336512248,407,8.9179229736328125,76312.04347826086,4,23
101,109.08333333333333,26.22499990463257,347,0.5711622834205627,-62195.03703703704,2,27
102,108.33333333333333,26.15833346048991,408,15.317538261413574,60564.565217391304,4,23
103,108.5,26.34166653951009,369,13.601936340332031,82378.46153846153,4,26
104,108.91666666666667,26.125,405,11.087389945983887,69978.82608695653,4,23
105,105.58333333333333,26.300000031789143,368,1.8082441091537476,-43265.666666666664,2,30
106,107.91666666666667,25.74999984105428,429,0.25636255741119385,-62823.28571428572,2,28
107,121.66666666666667,25.241666793823242,506,2.4867520332336426,-22282.862068965518,3,29
108,100.25,26.300000190734863,363,10.336849212646484,62786.57142857143,4,28
109,103.33333333333333,26.108333269755047,391,0.33396244049072266,-67051.32142857143,2,28
110,96.33333333333333,26.116666475931805,374,4.392428874969482,-5428.037037037037,3,27
111,94.41666666666667,26.616666793823242,278,2.576016664505005,-48208.17857142857,3,28
112,96.08333333333333,26.449999968210857,311,0.31021350622177124,-73943.4827586207,1,29
113,103.5,26.30833339691162,377,1.4570165872573853,42940.82142857143,4,28
114,99.25,26.5,336,0.2232135683298111,-29405.566666666666,3,30
115,98.5,26.65833346048991,307,0.2176847755908966,-49250.48275862069,3,29
116,104.33333333333333,26.158333619435627,394,0.6918787956237793,-15697.785714285714,3,28
117,101.25,26.424999872843426,345,0.1517753005027771,-67990.8,2,30
118,98.16666666666667,27.00833336512248,256,0.1585618406534195,-62713.6,2,30
119,98.91666666666667,27.34166685740153,228,0.1812145709991455,-74909.85714285714,2,28
120,99.75,26.71666653951009,325,0.21216054260730743,-61284.933333333334,2,30
121,104.66666666666667,26.858333269755047,333,0.4312821328639984,-72738.27586206897,2,29
122,114.08333333333333,24.833333333333332,668,0.18147780001163483,-74995.13333333333,2,30
123,101.5,27.63333336512248,156,0.15145333111286163,-74150.21428571429,1,28
124,105.16666666666667,27.10000006357829,327,10.043357849121094,91669.93103448275,4,29
125,103.25,27.333333492279053,290,17.206552505493164,87944.35714285714,4,28
126,104.25,27.22499990463257,313,9.092844009399414,64061.8275862069,4,29
127,103.58333333333333,27.27499993642171,291,15.04344367980957,94251.66666666667,4,30
128,106.83333333333333,26.666666507720947,360,1.2994214296340942,-60715.166666666664,2,30
129,112.58333333333333,26.425000190734863,372,0.3951025605201721,-70032,2,28
130,104.25,27.0666667620341,317,0.8577976822853088,-12915.206896551725,3,29
131,109.91666666666667,26.22500006357829,470,0.8486272692680359,-50327.933333333334,2,30
